2021-4-24 14:27:54,0.089
2021-4-24 14:27:54,23.56382,120.47790
2021-4-24 14:27:55,0.097
2021-4-24 14:27:55,23.56382,120.47791
2021-4-24 14:27:57,0.103
2021-4-24 14:27:57,23.56382,120.47791
2021-4-24 14:27:58,0.103
2021-4-24 14:27:58,23.56382,120.47791
2021-4-24 14:28:0,0.100
2021-4-24 14:28:0,23.56382,120.47791
2021-4-24 14:28:1,0.090
2021-4-24 14:28:1,23.56382,120.47791
2021-4-24 14:28:3,0.084
2021-4-24 14:28:3,23.56382,120.47791
2021-4-24 14:28:4,0.073
2021-4-24 14:28:4,23.56382,120.47791
2021-4-24 14:28:6,0.054
2021-4-24 14:28:6,23.56382,120.47790
2021-4-24 14:28:7,0.041
2021-4-24 14:28:7,23.56382,120.47790
2021-4-24 14:28:9,0.076
2021-4-24 14:28:9,23.56381,120.47790
2021-4-24 14:28:10,0.075
2021-4-24 14:28:10,23.56381,120.47790
2021-4-24 14:28:12,0.083
2021-4-24 14:28:12,23.56381,120.47790
2021-4-24 14:28:13,0.079
2021-4-24 14:28:13,23.56381,120.47790
2021-4-24 14:28:15,0.089
2021-4-24 14:28:15,23.56380,120.4779
2021-4-24 14:28:16,0.094
2021-4-24 14:28:16,23.56380,120.47790
2021-4-24 14:28:18,0.113
2021-4-24 14:28:18,23.56380,120.47790
2021-4-24 14:28:19,0.115
2021-4-24 14:28:19,23.56380,120.47790
2021-4-24 14:28:21,0.122
2021-4-24 14:28:21,23.56380,120.47790
2021-4-24 14:28:22,0.121
2021-4-24 14:28:22,23.56380,120.47790
2021-4-24 14:28:24,0.140
2021-4-24 14:28:24,23.56380,120.47791
2021-4-24 14:28:25,0.191
2021-4-24 14:28:25,23.56380,120.47791
2021-4-24 14:28:27,0.237
2021-4-24 14:28:27,23.56381,120.47792
2021-4-24 14:28:28,0.399
2021-4-24 14:28:28,23.56383,120.47792
2021-4-24 14:28:30,0.425
2021-4-24 14:28:30,23.56383,120.47793
2021-4-24 14:28:31,0.434
2021-4-24 14:28:31,23.56383,120.47793
2021-4-24 14:28:33,0.446
2021-4-24 14:28:33,23.56384,120.47793
2021-4-24 14:28:34,0.426
2021-4-24 14:28:34,23.56384,120.47793
2021-4-24 14:28:36,0.389
2021-4-24 14:28:36,23.56384,120.47793
2021-4-24 14:28:37,0.330
2021-4-24 14:28:37,23.56384,120.47792
2021-4-24 14:28:39,0.331
2021-4-24 14:28:39,23.56384,120.47791
2021-4-24 14:28:40,0.299
2021-4-24 14:28:40,23.56384,120.47791
2021-4-24 14:28:42,0.298
2021-4-24 14:28:42,23.56385,120.47790
2021-4-24 14:28:43,14.972
2021-4-24 14:28:43,23.56416,120.47768
2021-4-24 14:28:45,15.525
2021-4-24 14:28:45,23.56424,120.47762
2021-4-24 14:28:46,15.729
2021-4-24 14:28:46,23.56429,120.47755
2021-4-24 14:28:48,16.258
2021-4-24 14:28:48,23.56435,120.47749
2021-4-24 14:28:49,17.911
2021-4-24 14:28:49,23.56442,120.47741
2021-4-24 14:28:51,18.071
2021-4-24 14:28:51,23.56447,120.47735
2021-4-24 14:28:52,18.174
2021-4-24 14:28:52,23.56450,120.47729
2021-4-24 14:28:54,18.624
2021-4-24 14:28:54,23.56455,120.47722
