lati,long,Gyro,Gear,Rate,Pressure,Heartbeat,Temp
23.56130014,120.47749,-4.70828402366864,3.0,1.660748,6.221780415430267,20.653061224489797,28.15
23.56116369,120.47739173,-4.49864564831261,2.0,4.218873,6.256099290780142,46.398666666666664,28.137137150466042
23.5608387,120.4771487,-2.363147058823529,2.0,9.7370425,7.271764705882354,81.48973607038121,28.06
23.56083188,120.47714188,-2.6064516129032254,2.0,9.738577,5.1141642228739,28.0,28.06
23.56082012,120.47713259,-2.4229032258064516,2.0,9.888435,6.099852941176471,28.064516129032253,28.06
23.56080652,120.47712239,-2.095398230088496,2.0,10.094135,5.682170087976539,30.78592375366569,28.06
23.56079288,120.47711216,-2.163900293255132,2.0,10.30044,7.029736070381232,58.0,28.06
23.560785904999996,120.47710590499999,-3.3237536656891495,2.0,10.3236615,6.973313782991203,55.78885630498533,28.06
23.560780864999998,120.47710086499998,-3.3058235294117644,2.0,10.2986295,3.570411764705882,30.770348837209298,27.975910447761198
23.56077569,120.47709569,-3.1944347826086963,2.0,10.272927,5.9634110787172,58.0,28.05450581395349
23.56077053,120.47709053,-3.925913043478261,2.0,10.247299000000002,6.123284457478006,58.0,28.06
23.56076543,120.47708543,-3.7847058823529407,2.0,10.221969,5.978299120234603,58.0,28.06
23.560760315000003,120.47708031500001,-3.1558064516129027,2.0,10.196564500000001,6.155294117647058,58.0,28.06
23.56075043,120.47708,-3.912735294117647,2.0,10.125139,4.401026392961876,58.0,28.14417647058824
23.5607402,120.47708,-5.272258064516129,2.0,10.05046,5.361911764705883,55.12209302325581,28.065806451612897
23.560729875000003,120.47707987500002,-5.935364431486882,2.0,9.97828,5.369563953488372,13.0,27.975494186046507
23.5607214,120.47707140000003,-6.692903225806453,2.0,10.132864,5.2002052785923745,13.0,28.054176470588235
23.5607129,120.4770629,-6.853676470588236,2.0,10.287904,5.7990588235294105,13.49266862170088,28.06
23.560704375000004,120.47705437500001,-7.68290322580645,2.0,10.4434,5.203753665689149,23.28529411764706,27.975823529411755
23.56069585,120.47704585,-5.534588235294117,2.0,10.598896,4.720941176470589,58.0,27.97
23.56068735,120.47703735,-4.947058823529411,2.0,10.753936,4.731026392961876,58.0,27.80830508474576
23.56067796,120.47702847,-7.053988269794722,2.0,10.891519,4.821847507331379,58.0,27.873765060240963
23.56066448,120.47701836,-7.512082111436952,2.0,10.914772,4.899881656804733,58.0,27.964107142857138
23.56065088,120.47700816,-6.588588235294117,2.0,10.938232,4.777214076246334,58.0,27.885823529411756
23.56063862,120.47699931,-8.248181818181818,2.0,10.945615,4.9906744868035195,58.0,27.964193548387097
23.5606318,120.4769959,-11.217105263157892,2.0,10.88935,6.926315789473684,56.224489795918366,27.97
23.56062494,120.47699247000003,-11.9932944606414,2.0,10.832755,9.156443148688046,30.105263157894733,27.97
23.56061808,120.47698904,-13.198372093023254,2.0,10.77616,6.110643274853801,47.0,27.97
23.56061114,120.47698557,-7.913352601156069,2.0,10.718905,5.075114942528735,46.13529411764705,27.97
23.56060432,120.47698216,-2.9570967741935483,2.0,10.66264,6.428529411764705,33.90322580645161,28.054441176470586
23.56059628,120.47697504000003,-1.3358064516129031,2.0,10.64622,9.127572254335261,48.69942196531792,27.975806451612897
23.5605859,120.4769612,-1.1385217391304348,2.0,10.69985,5.869884393063584,73.95,28.054277456647398
